isoAlpha3,latitude,longitude
TKL,-9.171183,-171.820766
TLS,-8.936091,125.398598
TKM,39.391663,57.972754
TUN,34.672423,9.784598
TON,-21.159555,-175.206461
TUR,38.706046,33.246824
TTO,10.615101,-61.314341
TUV,-8.52117,179.114855
TWN,23.710412,120.282177
TZA,-7.427215,35.932081
UKR,48.524556,31.231102
UGA,1.513929,31.871944
UMI,13.477124,-120.830975
USA,39.729977,-101.170936
URY,-32.123061,-56.071152
UZB,40.640961,67.279319
VAT,41.903824,12.447673
VCT,13.261437,-61.190859
VEN,7.391404,-65.574167
VGB,18.434094,-64.626885
VIR,17.740192,-64.78241
VNM,13.008984,108.461409
VUT,-16.188447,167.842474
WLF,-14.28139,-178.139641
WSM,-13.773461,-172.162722
YEM,14.809783,46.638886
MYT,-12.829256,45.138516
ZAF,-28.310608,24.503106
ZMB,-12.763231,28.49213
ZWE,-18.939701,29.574399
